Issue Id,Issue Type,Summary,Epic Name,Epic Link,Parent Id,Story Points,Sprint,Priority,Labels,Description
1042,Sub-task,Unload on scroll-up,,,115,,,,,
1043,Sub-task,Threshold + count display,,,115,,,,,
116,Story,Interactive world-map backdrop,,FRONTEND,,8,Sprint 3,Medium,frontend,SVG map; pan/zoom to hovered card
1044,Sub-task,Equirectangular SVG projection,,,116,,,,,
1045,Sub-task,Pan/zoom to hovered card,,,116,,,,,
1046,Sub-task,MapFocusService (shared location),,,116,,,,,
1047,Sub-task,world-map.data + spec,,,116,,,,,
117,Story,Timezone label + responsive grid,,FRONTEND,,3,Sprint 3,Medium,frontend,IST-style label; 5/3/2/1 columns
1048,Sub-task,Timezone label (abbr + UTC offset),,,117,,,,,
1049,Sub-task,Responsive grid 5/3/2/1,,,117,,,,,
1050,Sub-task,Equal card sizing,,,117,,,,,
118,Story,Backend unit + integration tests (xUnit),,QA,,5,Sprint 3,High,qa;backend,"Classifier, merge, endpoint tests"
1051,Sub-task,Classifier + Countries data tests,,,118,,,,,
1052,Sub-task,RegionWeatherService merge tests,,,118,,,,,
1053,Sub-task,WebApplicationFactory endpoint tests,,,118,,,,,
119,Story,Frontend component/service specs (Karma),,QA,,5,Sprint 3,High,qa;frontend,"Weather service, visuals, cards, panel, map"
1054,Sub-task,WeatherService (primary + fallback),,,119,,,,,
1055,Sub-task,weather-visuals helpers,,,119,,,,,
1056,Sub-task,Card + panel + map specs,,,119,,,,,
120,Story,"Dockerize API (multi-stage, non-root)",,DEVOPS,,3,Sprint 3,High,devops,Publish trimmed; forwarded headers; :8080
1057,Sub-task,Multi-stage Dockerfile,,,120,,,,,
1058,Sub-task,Non-root + forwarded headers,,,120,,,,,
1059,Sub-task,.dockerignore (context=backend/),,,120,,,,,
121,Story,Config-driven CORS + secrets/config,,DEVOPS,,3,Sprint 3,High,devops;backend,SPA origin allow-list via config/env
1060,Sub-task,CORS allow-list via config/env,,,121,,,,,
1061,Sub-task,Secrets/config wiring,,,121,,,,,
122,Story,CI/CD pipeline (GitHub Actions + OIDC),,DEVOPS,,5,Sprint 4,High,devops,"Test, build/push ECR, deploy App Runner, sync S3+CF"
1062,Sub-task,Test jobs (backend + frontend),,,122,,,,,
1063,Sub-task,Build + push image to ECR,,,122,,,,,
1064,Sub-task,Deploy App Runner + sync S3/CloudFront,,,122,,,,,
123,Story,AWS infra as code (Terraform),,DEVOPS,,8,Sprint 4,High,devops,"ECR, App Runner, S3, CloudFront OAC, Route53, ACM"
1065,Sub-task,ECR + App Runner (main.tf),,,123,,,,,
1066,Sub-task,S3 + CloudFront OAC,,,123,,,,,
1067,Sub-task,Route53 + ACM,,,123,,,,,
1068,Sub-task,CloudWatch (monitoring.tf),,,123,,,,,
124,Story,"Observability (health, logs, dashboard, alarms)",,DEVOPS,,5,Sprint 4,Medium,devops,"/health, CloudWatch dashboard + alarms"
1069,Sub-task,/health + structured logging,,,124,,,,,
1070,Sub-task,CloudWatch dashboard,,,124,,,,,
1071,Sub-task,"Alarms (5xx, latency)",,,124,,,,,
125,Story,Manual QA + cross-browser + accessibility,,QA,,8,Sprint 4,High,qa,"a11y, Lighthouse, responsive"
1072,Sub-task,Cross-browser matrix,,,125,,,,,
1073,Sub-task,"Accessibility (focus, reduced-motion)",,,125,,,,,
1074,Sub-task,Lighthouse pass,,,125,,,,,
126,Story,Hardening + bug-fix buffer,,PMUX,,8,Sprint 4,Medium,pm,Contingency for defects and polish
1075,Sub-task,Defect fixes,,,126,,,,,
1076,Sub-task,Polish / production hardening,,,126,,,,,
127,Story,Sprint ceremonies + backlog grooming,,PMUX,,5,Backlog (ongoing),Medium,pm,"Planning, standups, review, retro across all sprints"
1077,Sub-task,Planning + daily standups,,,127,,,,,
1078,Sub-task,Review + retro,,,127,,,,,
201,Task,Spike: Open-Meteo rate limits & relay strategy,,BACKEND,,2,Sprint 1,Medium,spike;backend,Time-boxed investigation
202,Task,Spike: Official-language data source & coverage,,DATA,,1,Sprint 2,Low,spike;data,Time-boxed investigation
203,Task,Spike: SVG map projection & pan/zoom approach,,FRONTEND,,2,Sprint 2,Medium,spike;frontend,Time-boxed investigation
204,Task,Spike: App Runner vs ECS Fargate + ALB,,DEVOPS,,2,Sprint 4,Medium,spike;devops,Time-boxed investigation
205,Task,Spike: Shared cache for >1 instance (ElastiCache),,DEVOPS,,1,Sprint 4,Low,spike;devops,Time-boxed investigation
